date,type
2020-05-06 17:36:01.390644,exited
2020-05-06 17:36:07.043136,exited
2020-05-06 17:36:08.365387,exited
2020-05-06 17:36:08.517303,exited
2020-05-06 17:36:13.438664,entered
2020-05-06 17:36:13.890458,entered
2020-05-06 17:36:15.716550,exited
2020-05-06 17:36:21.259503,entered
2020-05-06 17:36:21.305475,exited
2020-05-06 17:36:21.351450,exited
2020-05-06 17:36:57.055126,exited
2020-05-06 17:37:01.717169,exited
2020-05-06 17:37:03.236539,exited
2020-05-06 17:37:03.444171,exited
2020-05-06 17:37:08.865709,entered
2020-05-06 17:37:09.333568,entered
2020-05-06 17:37:11.181791,exited
2020-05-06 17:37:16.643154,entered
2020-05-06 17:37:16.688126,exited
2020-05-06 17:37:16.731101,exited
